Latitude,Longitude,,,
45 40 67.72,-110 55 20.88,,,
45 40 67.74,-110 55 22.37,,,
45 40 67.08,-110 55 23.88,,,
45 40 66.75,-110 55 25.54,,,
45 40 66.43,-110 55 26.91,,,
45 40 66.61,-110 55 28.41,,,
45 40 65.77,-110 55 29.88,,,
45 40 65.45,-110 55 31.31,,,
45 40 65.14,-110 55 32.27,,,
45 40 64.84,-110 55 34.07,,,
45 40 64.55,-110 55 35.44,,,
45 40 64.25,-110 55 36.83,,,
45 40 63.96,-110 55 38.29,,,
45 40 63.71,-110 55 39.81,,,
45 40 63.57,-110 55 41.37,,,
45 40 63.55,-110 55 42.96,,,
45 40 63.62,-110 55 44.56,,,
45 40 63.73,-110 55 46.17,,,
45 40 63.85,-110 55 47.77,,,
45 40 63.98,-110 55 49.36,,,
45 40 64.17,-110 55 50.92,,,
45 40 64.41,-110 55 52.44,,,
45 40 64.71,-110 55 53.93,,,
45 40 65.06,-110 55 55.54,,,
45 40 65.43,-110 55 56.86,,,
45 40 65.77,-110 55 58.35,,,
45 40 66.07,-110 55 59.86,,,
45 40 66.29,-110 55 61.41,,,
45 40 66.41,-110 55 63.63,,,
45 40 66.46,-110 55 64.62,,,
45 40 66.49,-110 55 66.28,,,
45 40 66.52,-110 55 67.97,,,
45 40 66.54,-110 55 69.97,,,
45 40 66.56,-110 55 71.43,,,
45 40 66.58,-110 55 73.17,,,
45 40 66.66,-110 55 74.89,,,
45 40 66.62,-110 55 76.58,,,
45 40 66.63,-110 55 78.25,,,
45 40 66.64,-110 55 79.93,,,
45 40 66.63,-110 55 81.62,,,
45 40 66.62,-110 55 83.33,,,
45 40 66.62,-110 55 85.05,,,
45 40 66.64,-110 55 86.78,,,
45 40 66.65,-110 55 88.53,,,
45 40 66.66,-110 55 90.28,,,
45 40 66.68,-110 55 92.04,,,
45 40 66.72,-110 55 93.81,,,
45 40 66.79,-110 55 95.59,,,
45 40 66.69,-110 55 97.38,,,
45 40 67.06,-110 55 99.14,,,
45 40 67.24,-110 56 83.83,,,
45 40 67.45,-110 56 24.42,,,
45 40 67.71,-110 56 39.94,,,
45 40 68.04,-110 56 54.42,,,
45 40 68.39,-110 56 69.91,,,
45 40 68.72,-110 56 84.44,,,
45 40 69.69,-110 56 10.02,,,
45 40 69.18,-110 56 11.64,,,
45 40 69.23,-110 56 13.26,,,
45 40 69.12,-110 56 14.86,,,
45 40 68.94,-110 56 16.42,,,
45 40 68.76,-110 56 17.97,,,
45 40 68.58,-110 56 19.51,,,
45 40 68.84,-110 56 21.06,,,
45 40 68.24,-110 56 22.62,,,
45 40 68.13,-110 56 24.18,,,
45 40 68.09,-110 56 25.75,,,
45 40 68.06,-110 56 27.33,,,
45 40 68.04,-110 56 28.92,,,
45 40 68.68,-110 56 30.05,,,
45 40 67.96,-110 56 32.08,,,
45 40 67.88,-110 56 33.65,,,
45 40 67.77,-110 56 35.22,,,
45 40 67.66,-110 56 36.79,,,
45 40 67.52,-110 56 38.34,,,
45 40 67.38,-110 56 39.81,,,
45 40 67.72,-110 56 41.17,,,
45 40 66.97,-110 56 42.43,,,
45 40 66.64,-110 56 43.62,,,
45 40 66.19,-110 56 44.72,,,
45 40 65.56,-110 56 45.73,,,
45 40 64.91,-110 56 46.69,,,
45 40 64.17,-110 56 47.68,,,
45 40 63.34,-110 56 48.72,,,
45 40 62.61,-110 56 49.78,,,
45 40 61.83,-110 56 50.85,,,
45 40 61.08,-110 56 51.91,,,
45 40 60.44,-110 56 52.99,,,
45 40 59.92,-110 56 54.17,,,
45 40 59.47,-110 56 55.45,,,
45 40 59.02,-110 56 56.79,,,
45 40 58.51,-110 56 58.15,,,
45 40 57.94,-110 56 59.46,,,
45 40 57.73,-110 56 60.71,,,
45 40 56.61,-110 56 61.19,,,
45 40 55.88,-110 56 63.03,,,
45 40 55.08,-110 56 64.06,,,
45 40 54.19,-110 56 64.98,,,
45 40 53.23,-110 56 65.85,,,
45 40 52.23,-110 56 66.72,,,
45 40 51.12,-110 56 67.61,,,
45 40 50.16,-110 56 68.49,,,
45 40 49.14,-110 56 69.36,,,
45 40 48.12,-110 56 70.02,,,
45 40 47.71,-110 56 71.05,,,
45 40 46.08,-110 56 71.19,,,
45 40 45.06,-110 56 72.76,,,
45 40 44.05,-110 56 73.64,,,
45 40 43.05,-110 56 74.55,,,
45 40 42.05,-110 56 75.49,,,
45 40 41.06,-110 56 76.46,,,
45 40 40.07,-110 56 77.43,,,
45 40 39.09,-110 56 78.39,,,
45 40 38.11,-110 56 79.35,,,
45 40 37.12,-110 56 80.03,,,
45 40 36.14,-110 56 81.24,,,
45 40 35.13,-110 56 82.14,,,
45 40 34.11,-110 56 83.01,,,
45 40 33.07,-110 56 83.85,,,
