Latitude,Longitude
48 23 40.94,-107 4 57.18
48 23 40.97,-107 4 54.77
48 23 41.06,-107 4 52.33
48 23 41.21,-107 4 49.89
48 23 41.41,-107 4 47.46
48 23 41.65,-107 4 45.05
48 23 41.94,-107 4 42.62
48 23 42.31,-107 4 40.19
48 23 42.74,-107 4 37.76
48 23 43.23,-107 4 35.32
48 23 43.79,-107 4 32.89
48 23 4.44,-107 4 30.49
48 23 45.03,-107 4 28.12
48 23 45.66,-107 4 25.75
48 23 46.28,-107 4 23.37
48 23 46.91,-107 4 20.98
48 23 47.53,-107 4 18.59
48 23 48.15,-107 4 16.18
48 23 48.78,-107 4 13.75
48 23 49.42,-107 4 11.32
48 23 50.04,-107 4 8.9
48 23 50.66,-107 4 6.49
48 23 51.29,-107 4 4.07
48 23 51.92,-107 4 1.65
48 23 52.54,-107 3 99.22
48 23 53.17,-107 3 96.79
48 23 53.79,-107 3 94.35
48 23 54.41,-107 3 91.92
48 23 55.04,-107 3 89.48
48 23 55.66,-107 3 87.04
48 23 56.27,-107 3 84.62
48 23 56.88,-107 3 82.22
48 23 57.48,-107 3 79.84
48 23 58.08,-107 3 77.49
48 23 58.68,-107 3 75.17
48 23 59.28,-107 3 72.87
48 23 59.88,-107 3 70.57
48 23 6.05,-107 3 68.29
48 23 61.17,-107 3 66.04
48 23 61.87,-107 3 63.83
48 23 6.26,-107 3 61.65
48 23 63.37,-107 3 59.49
48 23 64.19,-107 3 57.36
48 23 65.06,-107 3 55.26
48 23 65.97,-107 3 53.18
48 23 66.91,-107 3 51.12
48 23 6.79,-107 3 49.08
48 23 68.94,-107 3 47.06
48 23 70.02,-107 3 45.06
48 23 71.15,-107 3 43.09
48 23 72.33,-107 3 41.17
48 23 73.55,-107 3 39.27
48 23 74.79,-107 3 37.38
48 23 76.04,-107 3 35.47
48 23 77.31,-107 3 33.55
48 23 78.57,-107 3 31.64
48 23 79.82,-107 3 29.72
48 23 81.06,-107 3 27.82
48 23 8.23,-107 3 25.93
48 23 83.54,-107 3 24.04
48 23 84.78,-107 3 22.15
48 23 86.01,-107 3 20.26
48 23 87.25,-107 3 18.36
48 23 88.48,-107 3 16.45
48 23 89.71,-107 3 14.55
48 23 90.94,-107 3 12.64
48 23 92.18,-107 3 10.74
48 23 93.42,-107 3 8.85
48 23 94.67,-107 3 6.96
48 23 9.59,-107 3 5.06
48 23 97.13,-107 3 3.13
48 23 98.34,-107 3 1.18
48 23 99.52,-107 2 99.18
48 24 6.5,-107 2 9.71
48 24 1.68,-107 2 94.92
48 24 2.63,-107 2 92.62
48 24 3.48,-107 2 90.25
48 24 4.25,-107 2 8.78
48 24 4.93,-107 2 85.28
48 24 5.51,-107 2 82.71
48 24 5.99,-107 2 80.08
48 24 6.38,-107 2 77.41
48 24 6.65,-107 2 74.69
48 24 6.82,-107 2 71.94
48 24 6.89,-107 2 69.19
48 24 6.89,-107 2 66.45
48 24 6.86,-107 2 63.75
48 24 6.81,-107 2 61.08
48 24 6.79,-107 2 58.42
48 24 6.77,-107 2 55.79
48 24 6.76,-107 2 5.32
48 24 6.74,-107 2 50.62
48 24 6.72,-107 2 48.05
48 24 6.7,-107 2 45.48
48 24 6.68,-107 2 42.91
48 24 6.65,-107 2 40.34
48 24 6.63,-107 2 37.75
48 24 6.61,-107 2 35.15
48 24 6.61,-107 2 32.54
48 24 6.61,-107 2 29.92
48 24 6.6,-107 2 27.29
48 24 6.58,-107 2 24.64
48 24 6.57,-107 2 21.99
48 24 6.56,-107 2 19.33
48 24 6.56,-107 2 16.69
48 24 6.55,-107 2 14.07
48 24 6.53,-107 2 11.44
48 24 6.52,-107 2 8.81
48 24 6.51,-107 2 6.18
48 24 6.5,-107 2 3.54
48 24 6.5,-107 2 8.9
48 24 6.49,-107 1 98.24
48 24 6.49,-107 1 95.57
48 24 6.49,-107 1 9.29
48 24 6.48,-107 1 90.22
48 24 6.47,-107 1 87.53
48 24 6.46,-107 1 84.83
48 24 6.45,-107 1 82.12
48 24 6.45,-107 1 7.94
48 24 6.45,-107 1 76.69
48 24 6.44,-107 1 7.4
48 24 6.44,-107 1 71.32
48 24 6.44,-107 1 68.64
48 24 6.43,-107 1 65.97
48 24 6.43,-107 1 63.29
48 24 6.42,-107 1 60.61
48 24 6.41,-107 1 57.92
48 24 6.42,-107 1 55.24
48 24 6.42,-107 1 52.59
48 24 6.42,-107 1 49.99
48 24 6.42,-107 1 4.74
48 24 6.41,-107 1 44.82
48 24 6.41,-107 1 42.23
48 24 6.4,-107 1 39.63
48 24 6.39,-107 1 37.02
48 24 6.39,-107 1 3.44
48 24 6.38,-107 1 31.77
48 24 6.38,-107 1 29.12
48 24 6.37,-107 1 26.45
48 24 6.37,-107 1 23.77
48 24 6.37,-107 1 21.08
48 24 6.38,-107 1 18.37
48 24 6.38,-107 1 1.57
48 24 6.37,-107 1 13.06
48 24 6.37,-107 1 10.45
48 24 6.37,-107 1 7.87
48 24 6.37,-107 1 5.33
48 24 6.36,-107 1 2.78
48 24 6.36,-107 1 2.2
48 24 6.36,-107 0 97.62
48 24 6.37,-107 0 95.01
48 24 6.38,-107 0 92.39
48 24 6.39,-107 0 89.78
48 24 6.39,-107 0 87.16
48 24 6.39,-107 0 84.55
48 24 6.39,-107 0 81.94
48 24 6.39,-107 0 79.34
48 24 6.38,-107 0 76.74
48 24 6.38,-107 0 74.14
48 24 6.38,-107 0 71.54
48 24 6.37,-107 0 68.95
48 24 6.37,-107 0 66.35
48 24 6.37,-107 0 63.76
48 24 6.37,-107 0 61.16
48 24 6.37,-107 0 58.56
48 24 6.37,-107 0 55.97
48 24 6.37,-107 0 53.37
48 24 6.37,-107 0 50.78
48 24 6.37,-107 0 48.19
48 24 6.36,-107 0 45.59
48 24 6.36,-107 0 4.3
48 24 6.36,-107 0 4.04
48 24 6.36,-107 0 3.78
48 24 6.36,-107 0 35.21
48 24 6.35,-107 0 32.61
48 24 6.35,-107 0 30
48 24 6.35,-107 0 27.39
48 24 6.36,-107 0 24.79
48 24 6.36,-107 0 22.18
48 24 6.36,-107 0 19.57
48 24 6.36,-107 0 16.96
48 24 6.35,-107 0 14.35
48 24 6.35,-107 0 11.74
48 24 6.35,-107 0 9.14
48 24 6.35,-107 0 6.54
48 24 6.35,-107 0 3.94
48 24 6.35,-107 0 1.35
48 24 6.35,-106 59 98.75
48 24 6.36,-106 59 96.16
48 24 6.36,-106 59 93.58
48 24 6.37,-106 59 90.99
48 24 6.37,-106 59 8.84
